sample#;AD1;AD2;RSSIrx;RSSItx
318;249;0;94;93
319;249;0;94;93
320;249;0;94;93
321;249;0;94;92
322;249;0;94;92
323;249;0;94;92
324;249;0;92;92
325;249;0;92;92
326;249;0;93;92
327;249;0;93;92
328;249;0;93;92
329;249;0;92;92
330;249;0;92;92
331;249;0;92;91
332;249;0;92;91
333;249;0;92;91
334;249;0;92;91
335;249;0;92;91
336;249;0;91;91
337;249;0;92;91
338;249;0;92;91
339;249;0;92;92
340;249;0;93;92
341;249;0;92;92
342;249;0;93;92
343;249;0;93;92
344;249;0;93;92
345;249;0;93;91
346;249;0;93;91
347;249;0;93;91
348;249;0;92;91
349;249;0;92;92
350;249;0;93;92
351;249;0;93;92
352;249;0;93;92
353;249;0;93;92
354;249;0;93;92
355;249;0;93;92
356;249;0;93;92
357;249;0;93;91
358;249;0;93;91
359;249;0;93;92
360;249;0;92;91
361;249;0;92;92
362;249;0;93;92
363;249;0;93;92
364;249;0;93;92
365;249;0;93;92
366;249;0;93;92
367;249;0;93;92
368;249;0;93;92
369;249;0;93;91
370;249;0;93;91
371;249;0;93;92
372;249;0;92;91
373;249;0;93;92
374;249;0;93;91
375;249;0;93;92
376;249;0;93;92
377;249;0;93;92
378;249;0;93;92
379;249;0;93;92
380;249;0;93;92
381;249;0;93;92
382;249;0;94;92
383;249;0;93;92
384;249;0;93;92
385;249;0;93;92
386;249;0;94;92
387;249;0;93;93
388;249;0;93;93
389;249;0;93;93
390;249;0;93;92
391;248;0;93;92
392;249;0;93;92
393;249;0;93;92
394;249;0;93;92
395;249;0;92;91
396;249;0;92;92
397;249;0;93;92
398;249;0;93;92
399;248;0;93;92
400;248;0;93;92
401;249;0;93;92
402;248;0;93;92
403;248;0;94;92
404;249;0;94;92
405;249;0;94;92
406;249;0;94;92
407;248;0;93;92
408;249;0;93;92
409;249;0;94;93
410;248;0;94;93
411;248;0;94;93
412;249;0;94;93
413;249;0;94;94
414;249;0;94;93
415;249;0;95;93
416;249;0;95;93
417;248;0;95;93
418;248;0;95;93
419;249;0;94;93
420;249;0;94;93
421;249;0;94;93
422;249;0;94;94
423;249;0;95;94
424;248;0;95;94
425;249;0;95;94
426;248;0;95;93
427;248;0;96;94
428;249;0;96;93
429;248;0;96;94
430;249;0;96;94
431;249;0;95;94
432;248;0;95;94
433;249;0;95;94
434;249;0;94;94
435;248;0;94;94
436;248;0;94;94
437;249;0;95;94
438;248;0;95;93
439;249;0;96;93
440;249;0;95;93
441;248;0;94;93
442;249;0;94;93
443;248;0;93;93
444;248;0;93;93
445;248;0;94;92
446;248;0;94;93
447;249;0;93;92
448;248;0;93;92
449;249;0;93;93
450;248;0;94;92
451;248;0;95;92
452;248;0;95;92
453;248;0;95;92
454;248;0;94;92
455;248;0;93;92
456;248;0;93;93
457;248;0;94;93
458;248;0;94;93
459;248;0;94;93
460;248;0;94;93
461;248;0;94;93
462;248;0;95;93
463;248;0;96;93
464;248;0;96;93
465;248;0;96;93
466;248;0;95;94
467;248;0;94;94
468;248;0;94;94
469;248;0;95;94
470;248;0;95;94
471;248;0;95;94
472;248;0;95;94
473;248;0;95;94
474;248;0;95;94
475;248;0;95;94
476;248;0;95;93
477;248;0;95;93
478;248;0;96;94
479;248;0;96;94
480;248;0;96;94
481;248;0;97;95
482;248;0;97;95
483;248;0;97;95
484;248;0;96;95
485;248;0;96;95
486;248;0;95;95
487;248;0;96;95
488;248;0;96;94
489;248;0;97;94
490;248;0;97;95
491;248;0;96;95
492;248;0;96;95
493;248;0;96;95
494;248;0;96;95
495;248;0;95;95
496;248;0;95;95
497;248;0;95;95
498;248;0;94;94
499;248;0;95;93
500;248;0;94;93
501;248;0;95;93
502;248;0;95;93
503;248;0;94;93
504;248;0;94;93
505;248;0;95;93
506;248;0;95;94
507;248;0;96;94
508;248;0;96;95
509;248;0;96;95
510;248;0;96;94
511;248;0;95;94
512;248;0;95;94
513;248;0;95;94
514;248;0;95;94
515;248;0;95;94
516;248;0;95;94
517;248;0;96;94
518;248;0;96;94
519;248;0;96;94
520;248;0;95;94
521;248;0;95;94
522;248;0;95;94
523;248;0;96;94
524;248;0;96;94
525;248;0;96;94
526;248;0;95;94
527;248;0;93;93
528;248;0;92;93
529;248;0;92;93
530;248;0;92;92
531;248;0;91;92
532;248;0;92;92
533;248;0;93;92
534;248;0;95;92
535;248;0;95;92
536;248;0;95;92
537;248;0;95;93
538;248;0;95;93
539;248;0;93;93
